,Unnamed: 0,Nombre de usuario,Usuario,Fecha,Texto
6460,894,Alfredmarles,@alfredmarles,2021-02-15,vacuna putrefaccion moral colombia
6461,895,JULIAN MESA,@JMESAGIL,2021-02-15,pena vacuna colombia buen colombiano celebro pais quede rezagado lleguen si asi
6462,896,Hugo Guerrero Monroy,@HugoGuerreroMo3,2021-02-15,entonces sigamos celebrando despues mas dos meses existir vacuna sudamerica fin llego anelada vacuna ofender hoy mas muertos colombia covid numero vacunas gracias muertos duque
6463,897,El Duke,@andresduke,2021-02-15,si memes vacuna covid colombia tendriamos enfermedad gracias presidente jajajaja pelmazooooo
6464,898,Jacobo Solano C,@JACOBOSOLANOC,2021-02-15,ministro salud tarde duque tv dira ciudad aplicara primera vacuna expectativa colombia convertido reality lleva 60000 muertos incluso puede hacer concurso adivine ciudad gana puesto consul
6465,899,Jorge Henao,@jorgehenaoospi1,2021-02-15,1 marzo llega vacuna envidia sera gratis estara disponible colombia humana partido verdes partido comunes fecode
6466,900,Delatierradeltumbao,@NandreaBeltran,2021-02-15,colombia proceso vacunacion deberian entregarselo registraduria si capaces poner puesto votacion caserio remoto capaces llevar vacuna mismo caserio
6467,901,Víctor G Baldovino M,@vigabalme,2021-02-15,ameritaria verdadera celebracion seria haber desarrollado vacuna colombia resto jubilo haber ido tienda pedir den par miguitas
6468,902,Ojitos,@JuankMolano,2021-02-15,da pena comparen colombia paises pordebajearlos increible llego vacuna zimbahue bolivia venezuela creyeron colombia superior empoderada inalcanzable pues cielas bajense nube arribismo culo
6469,903,Jorge Barros,@PapetoBarros,2021-02-15,si hoy dia presidente ministro salud sombra concubina habrian gastado presupuesto unica vacuna aplicando colombia serian farc eln fin hipocresia
6470,904,Mucha Música,@Muchamusica5,2021-02-15,pobre cristiano van colocar vacuna colombia conocera toda vida gracias deben montando show afuera casa colegio etcect medios lameculos gastamos
6471,905,Victor Mosquera Marin,@VictorMosqueraM,2021-02-15,gobierno sera ejemplo region mundo eficiencia cobertura aplicacion vacuna anos colombia segun destacado plan vacunacion
6472,906,Jorge Elias Angel,@angelvet68,2021-02-15,mayoria paises latinoamericanos puntean vacunacion hecho vacuna china ahora solo demostrado tan solo 503 efectividad queria izquierda colombia bien presidente
6473,907,Kathy Large,@kat_large,2021-02-15,presidente anuncia cumplio colombia tan solo 50 mil dosis vacuna favor senor presiente cumplira colombia acceso
6474,908,Juan Sánchez,@juansandj,2021-02-15,van ver adulador vacuna tampoco sere critico ello tarde temprano toco turno colombia justo ahi
6475,909,Martha Liliana Castañeda,@MarthaLilianaC4,2021-02-15,lamentable hace gobierno critiquen viviendo peor pandemia historia llevado millones personas mundo bien vacuna primer lote colombia asi llegado 35000000 serviria
6476,910,Juan Camilo Orozco,@milo_orozco,2021-02-15,solo falto entrevistar vacuna si contenta llegar dieron avion expectativas si habia venido colombia si imaginaban aeropuerto marranos peliculas si
6477,911,Jose Fernando Santa.,@charlasamenas63,2021-02-15,colombia ejemplo mundo vacuna pandemia
6478,912,ElLlanoesLindo,@wingonzalez,2021-02-15,hoy queda claro vacuna envidia tan sufrimos colombia
6479,913,Janus,@janusinho,2021-02-15,bueno lleguen millones vacunas colombia perogratis asi si paga dinero impuestos aca pague poquito ahora van inventar mas entonces asi vacuna gratis cuento tan chimbo sesgo tan jodido
6480,914,CARLOS CESAR SILVA,@CCSILVA86,2021-02-15,hecho indiscutible colombia paises america latina mas tarde llego vacuna irreversible ahora gran reto cumplir plan nacional vacunacion dice febrero deben vacunarse 850 mil personas marzo 3 millones
