Nombre de usuario,Usuario,Fecha,Texto
ice cream,@AndyGelatto_,2020-12-11T13:32:58.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas"
königin ©,@janeytheking,2020-12-11T13:08:35.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas "
Juanma,@JnMx_09,2020-12-11T12:16:42.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas "
"El Hijo del Albañil Troll 210
En lucha",@HijoAlbanil,2020-12-10T23:00:21.000Z,"La vacuna rusa está floja de papeles. 

Conmigo no. 

#YoNoMeVacuno"
Counterpropaganda #Muzzle-Free #SinBozal,@Counterpropag20,2020-12-10T22:34:48.000Z,"#YoNoMeVacuno y #NoLlevoMascarilla. 
Por si alguien pregunta, nunca iría a un hospital público si estuviera enfermo con algo. Preferiría morir solo en mi casa que ponerme en manos de un matasanos covidiano."
J enfurecida,@juanjillo2,2020-12-10T22:20:15.000Z,"#YoNoMeVacuno por salud, pero los sábados por la noche tengo la carcasa del móvil llena de marcas de dedos chupados."
ElRichi,@LopezOrihuela,2020-12-10T21:33:46.000Z,"Yo solo quiero que me vacunen para gritar como loquito: ""la base de datos de virus ha sido actualizada"".

#COVID19 #Pfizer #YoNoMeVacuno  #YoMeVacunare"
Splinter,@A_Navalon98,2020-12-10T21:21:03.000Z,"#YoNoMeVacuno pues vale tío no te vacunes, a ver si pillas covid, te mueres y dejas de dar la turra"
Ivan Cerdeña Macias,@Divulgandosaber,2020-12-10T20:27:21.000Z,"De la vacuna que han elaborado los mejores científicos no os fiais, pero de los batiditos de Herbalife que os ha vendido vuestra prima, o del consejo de mierda del enterado del barrio si. Así nos va.
#VacunaCOVID19
#YoSiMeVacuno
#YoNoMeVacuno
#Vacunas"
ɱąཞƈơʂ,@M_PastorGalan,2020-12-10T20:23:17.000Z,"Pooh no!! #YoNoMeVacuno pero tengo obesidad, fumo, bebo a full, no hago ejercicio, monto pollos en el hospital porque no me atienden el primero en urgencias cuando me duele una uña, etc etc etc y además me pasó la velocidad al volante por el forro"
